CoatCheck,Attire,ReviewCount,TakeAway,State,CreditCards,City,Open,Smoking,Caters,TransitNearby,IsCasual,IsUpscale,BestNIghtMonThur,BestNightFriSat,School,GoodForLunch,GoodForDinner,HasMusic,Longitude,OutdoorSeating,GoodForGroups,WiFi,Alcohol,WaiterService,Delivery,HappyHour,GoodForKids,TakeOut,AvgPrice,NoiseLevel,HasTV,Latitude,GoodForDancing,NominalStars
?,?,44,?,MA,?,Cambridge,TRUE,?,?,Y,N,N,N,N,"Massachusetts Institute of Technology, Harvard University",N,N,N,-71.096763,?,?,?,?,?,?,?,?,?,?,?,?,42.363206,?,low
?,Casual,18,?,NJ,Yes,Princeton,TRUE,?,?,N,N,N,N,N,Princeton University,Y,N,N,-74.6651,No,Yes,?,No,Yes,No,?,Yes,Yes,20,?,Yes,40.309299,?,low
?,Casual,12,Yes,ON,Yes,Waterloo,TRUE,?,Yes,N,N,Y,N,N,University of Waterloo,Y,Y,N,-80.519077,Yes,Yes,Free,Full Bar,Yes,No,?,Yes,?,45,Average,Yes,43.460223,?,high
?,Casual,58,?,CA,No,Berkeley,TRUE,?,No,N,N,N,N,N,University of California at Berkeley,Y,Y,N,-122.259209,Yes,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,37.868713,?,high
?,Casual,2,?,MA,Yes,Hadley,TRUE,?,?,N,N,N,N,N,University of Massachusetts - Amherst,N,N,N,-72.539754,No,?,?,?,?,?,?,?,?,20,Average,?,42.363471,?,low
?,Casual,3,?,NY,Yes,Ithaca,TRUE,?,?,N,N,N,N,N,Cornell University,N,N,N,-76.504568,Yes,Yes,?,?,Yes,Yes,?,No,Yes,20,?,?,42.445197,?,low
?,Casual,12,?,MA,Yes,Amherst,TRUE,?,?,N,N,N,N,N,University of Massachusetts - Amherst,Y,N,N,-72.518471,No,Yes,No,No,No,No,?,Yes,Yes,7,Average,No,42.375559,?,high
?,Casual,17,?,IN,Yes,Lafayette,TRUE,?,Yes,N,Y,N,N,N,Purdue University,Y,Y,N,-86.871696,No,Yes,?,Full Bar,Yes,No,?,Yes,Yes,7,Average,Yes,40.429298,?,high
?,Casual,3,?,IN,Yes,West Lafayette,TRUE,?,?,N,N,N,N,N,Purdue University,N,N,N,-86.908326,No,Yes,?,No,No,?,?,Yes,Yes,7,?,?,40.424525,?,high
?,Casual,73,?,CA,Yes,San Luis Obispo,TRUE,?,No,N,Y,N,N,N,California Polytechnic State University,Y,Y,N,-120.661003,Yes,Yes,No,Beer & Wine Only,Yes,No,?,Yes,Yes,20,Average,No,35.281399,?,high
?,?,2,?,CA,?,Los Angeles,TRUE,?,?,N,N,N,N,N,University of California - Los Angeles,N,N,N,-118.45278,?,?,?,?,?,?,?,?,?,?,?,?,34.072219,?,low
?,?,6,?,NY,?,New York,FALSE,?,?,Y,N,N,N,N,Columbia University,N,N,N,-73.959944,?,?,?,?,?,?,?,?,?,?,?,?,40.808307,?,low
?,Casual,9,?,NY,Yes,Ithaca,TRUE,?,No,N,N,N,N,N,Cornell University,Y,Y,N,-76.484955,No,Yes,No,No,No,Yes,?,Yes,Yes,7,Average,?,42.441944,?,low
?,Casual,16,?,CA,Yes,Los Angeles,TRUE,?,?,N,N,N,N,N,University of Southern California,Y,N,N,-118.27655,Yes,Yes,Free,No,No,No,?,Yes,Yes,7,Very Loud,Yes,34.019281,?,low
No,Casual,8,?,NY,Yes,Troy,TRUE,Outdoor Area/ Patio Only,?,N,Y,N,Y,Y,Rensselaer Polytechnic Institute,N,N,Y,-73.690742,Yes,Yes,No,Full Bar,Yes,No,Yes,No,Yes,20,Average,Yes,42.731379,Yes,low
?,Casual,5,?,WA,Yes,Seattle,TRUE,?,?,N,N,N,N,N,University of Washington,N,N,N,-122.312027,Yes,Yes,?,No,No,No,?,No,Yes,7,?,?,47.656788,?,low
?,Casual,38,?,MD,Yes,College Park,TRUE,?,No,N,Y,N,N,N,University of Maryland - College Park,Y,Y,N,-76.93052,No,Yes,No,Beer & Wine Only,Yes,Yes,?,Yes,Yes,20,Quiet,Yes,39.016096,?,high
?,Casual,17,?,MA,Yes,Amherst,TRUE,?,?,N,N,N,N,N,University of Massachusetts - Amherst,Y,Y,N,-72.5189,Yes,Yes,?,Full Bar,Yes,Yes,?,Yes,Yes,20,Average,Yes,42.3807,?,low
?,Casual,5,?,PA,Yes,Philadelphia,TRUE,?,?,N,N,N,N,N,University of Pennsylvania,N,N,N,-75.192705,?,Yes,?,Full Bar,Yes,?,?,?,?,20,?,?,39.958207,?,low
